City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
141,Bitung,ID,2022-07-28 01:09:22,1.4451,125.1824,88.65,77,52,12.01
142,Mar Del Plata,AR,2022-07-28 01:09:22,-38.0023,-57.5575,51.1,58,100,13.0
143,Kruisfontein,ZA,2022-07-28 01:09:23,-34.0033,24.7314,49.89,90,1,4.12
144,Bagotville,AU,2022-07-28 01:09:23,-28.9833,153.4167,65.86,55,0,4.12
145,Aljezur,PT,2022-07-28 01:09:23,37.3191,-8.8033,63.57,78,0,11.74
146,Shingu,JP,2022-07-28 01:09:24,33.7333,135.9833,83.7,76,46,6.22
147,Calama,CL,2022-07-28 01:06:30,-22.4667,-68.9333,48.69,20,41,12.66
148,Bambous Virieux,MU,2022-07-28 01:07:55,-20.3428,57.7575,67.21,81,27,10.45
149,Souillac,MU,2022-07-28 01:09:24,-20.5167,57.5167,68.56,84,9,10.87
150,Alta Floresta,BR,2022-07-28 01:09:25,-9.8756,-56.0861,73.71,38,0,2.73
151,Obo,CF,2022-07-28 01:09:25,5.3998,26.4869,67.39,98,100,1.97
152,Oranjemund,NA,2022-07-28 01:09:25,-28.55,16.4333,52.05,86,0,4.23
153,Marystown,CA,2022-07-28 01:06:28,47.1666,-55.1483,62.85,100,15,1.01
154,Tasiilaq,GL,2022-07-28 01:07:02,65.6145,-37.6368,39.36,96,82,9.33
155,Tuatapere,NZ,2022-07-28 01:09:26,-46.1333,167.6833,44.38,94,100,1.03
156,Conceicao Do Araguaia,BR,2022-07-28 01:09:26,-8.2578,-49.2647,72.09,45,5,2.35
157,Mazamari,PE,2022-07-28 01:09:27,-11.3258,-74.5308,72.12,79,35,2.19
158,Hua Hin,TH,2022-07-28 01:09:27,12.5707,99.9588,85.89,87,99,4.38
159,Waitara,NZ,2022-07-28 01:09:27,-38.925,174.25,58.5,83,32,18.79
160,Tres Picos,MX,2022-07-28 01:09:28,15.8667,-93.5333,79.32,87,100,1.81
161,Binghamton,US,2022-07-28 01:05:49,42.0987,-75.918,78.01,72,100,3.0
162,Deputatskiy,RU,2022-07-28 01:09:28,69.3,139.9,57.74,45,100,5.55
163,Vardo,NO,2022-07-28 01:08:13,70.3705,31.1107,53.58,94,75,4.61
164,Plouzane,FR,2022-07-28 01:09:29,48.3833,-4.6167,59.05,91,0,3.44
