City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Qalyub,EG,2022-07-28 03:12:59,clear sky,30.1792,31.2056,79.59,65,0,6.73
146,Hasaki,JP,2022-07-28 03:12:17,broken clouds,35.7333,140.8333,95.29,79,76,16.11
147,Plouzane,FR,2022-07-28 03:13:00,fog,48.3833,-4.6167,57.25,97,0,3.44
148,Yumen,CN,2022-07-28 03:13:00,broken clouds,40.2833,97.2,88.65,14,68,13.22
149,Shasta Lake,US,2022-07-28 03:12:32,clear sky,40.6804,-122.3708,99.32,25,9,4.45
150,Khandbari,NP,2022-07-28 03:13:00,overcast clouds,27.3747,87.2039,73.45,89,100,1.34
151,Sedalia,US,2022-07-28 03:13:01,clear sky,38.7045,-93.2283,75.11,88,0,0.0
152,Necochea,AR,2022-07-28 03:12:57,moderate rain,-38.5473,-58.7368,49.46,96,100,16.4
153,Noumea,NC,2022-07-28 03:13:01,overcast clouds,-22.2763,166.4572,78.78,99,100,7.81
154,Yeniseysk,RU,2022-07-28 03:13:02,overcast clouds,58.4497,92.1703,61.32,82,100,3.06
155,Hofn,IS,2022-07-28 03:11:53,overcast clouds,64.2539,-15.2082,53.33,99,100,21.34
156,Port-Cartier,CA,2022-07-28 03:13:02,broken clouds,50.0334,-66.8654,64.74,86,67,5.64
157,Port Lincoln,AU,2022-07-28 03:13:02,clear sky,-34.7333,135.8667,59.47,64,10,7.4
158,Las Cruces,US,2022-07-28 03:13:03,broken clouds,32.3123,-106.7783,87.6,36,75,3.0
159,Thompson,CA,2022-07-28 03:12:11,overcast clouds,55.7435,-97.8558,53.49,91,100,3.78
160,Alofi,NU,2022-07-28 03:13:03,shower rain,-19.0595,-169.9187,76.89,83,75,11.5
161,San Ignacio,BZ,2022-07-28 03:13:04,broken clouds,17.1561,-89.0714,73.29,97,59,3.4
162,Los Llanos De Aridane,ES,2022-07-28 03:13:04,few clouds,28.6585,-17.9182,70.12,93,20,18.41
163,Salcedo,PH,2022-07-28 03:13:04,overcast clouds,12.8105,121.4674,85.96,68,100,3.31
